Name,Address,Source
FA_EnableLtkids,0xFF4A9924,EVENTPROC
FA_DisableLtkids,0xFF4A9934,EVENTPROC
FA_SaveWbFix,0xFF4A9CB0,EVENTPROC
FA_ReverseAdjust,0xFF4A9CE8,EVENTPROC
FA_GetReverseAdjustSum,0xFF4A9D68,EVENTPROC
FA_GetWbCoef,0xFF4AA050,EVENTPROC
FA_GetSsWbCoef,0xFF4AA06C,EVENTPROC
FA_UseAdjustDevelopParam,0xFF4AA188,EVENTPROC
FA_UseAdjustSsDevelopParam,0xFF4AA1BC,EVENTPROC
FA_YuvDevelopTestImage,0xFF4AA204,EVENTPROC
FA_GetYuvSsDevelopParam,0xFF4AA1EC,EVENTPROC
FA_CreateClrAdjustShootingInfo,0xFF4AA458,EVENTPROC
FA_SecDifficult,0xFF326394,EVENTPROC
FA_MacSelfCheck,0xFF325CA8,EVENTPROC
FA_GetSecCheckData,0xFF2C1F18,EVENTPROC
FA_GetTotalSizeOfMemory,0xFF4A7D44,EVENTPROC
FA_RecordSound,0xFF316C14,EVENTPROC
FA_GetSoundLevel,0xFF11CD1C,EVENTPROC
FA_GetFileData,0xFF4AE014,EVENTPROC
FA_GetFileSize,0xFF4ADE44,EVENTPROC
FA_DeleteFile,0xFF4AE110,EVENTPROC
FA_FormatDrive,0xFF4AE290,EVENTPROC
FA_GetCameraLogEnd,0xFF2C1F88,EVENTPROC
PrepareCommunication,0xFF317A2C,EVENTPROC
SetWiFiEnable,0xFF317A58,EVENTPROC
GetProtocolVersion,0xFF317A7C,EVENTPROC
GetProductFeatures,0xFF317AB0,EVENTPROC
